platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 1: AWAKE,80,7.5,11,113 Ratings,"['Action Adventure', 'General']",Deck Nine Games,31-Aug-17
pc,YS SEVEN,80,7.6,15,29 Ratings,"['Role-Playing', 'Action RPG']",Falcom,30-Aug-17
pc,TALES OF BERSERIA,80,6.5,18,354 Ratings,"['Japanese-Style', 'Role-Playing', 'Action RPG']",Bandai Namco Games,26-Jan-17
pc,SPLASHER,79,6.8,7,18 Ratings,"['Action', 'Platformer', '2D']",Splashteam,7-Feb-17
pc,WILSON'S HEART,79,7.9,10,17 Ratings,"['Action Adventure', 'Adventure', 'General']",Twisted Pixel Games,21-Apr-17
pc,A HAT IN TIME,79,8.7,39,460 Ratings,"['Action', 'Platformer', '3D']",Gears for Breakfast,5-Oct-17
pc,RUMU,79,6.4,8,5 Ratings,"['Adventure', 'General']",Robot House,12-Dec-17
pc,THE INNER WORLD: THE LAST WIND MONK,79,6.3,8,11 Ratings,"['Adventure', 'General']",Fizbin,20-Oct-17
pc,CAT QUEST,79,7.6,10,48 Ratings,"['Role-Playing', 'Action RPG']",The Gentlebros,8-Aug-17
pc,BATMAN: THE ENEMY WITHIN - THE TELLTALE SERIES,79,7.2,9,126 Ratings,"['Adventure', 'Point-and-Click']",Telltale Games,8-Aug-17
pc,ZWEI: THE ILVARD INSURRECTION,79,8,8,10 Ratings,"['Role-Playing', 'Action RPG']",Falcom,31-Oct-17
pc,HEAT SIGNATURE,79,7.2,7,27 Ratings,"['Action', 'General']",Tom Francis,21-Sep-17
pc,HEARTHSTONE: HEROES OF WARCRAFT - JOURNEY TO UN'GORO,79,3.8,8,54 Ratings,"['Strategy', 'Turn-Based', 'Card Battle']",Blizzard Entertainment,6-Apr-17
pc,EVERSPACE,79,7.7,18,79 Ratings,"['Action', 'General', 'Simulation', 'Action Adventure', 'Space', 'Open-World', 'Combat']",ROCKFISH Games,26-May-17
pc,HIGH HELL,79,7.2,15,10 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Terri Vellimann,23-Oct-17
pc,DOKI DOKI LITERATURE CLUB!,78,8.5,7,627 Ratings,"['Adventure', 'Visual Novel']",Team Salvato,6-Oct-17
pc,FALLOUT 4 VR,78,5.1,27,73 Ratings,"['Role-Playing', 'Western-Style']",Bethesda Game Studios,11-Dec-17
