platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,SHOOTY FRUITY,79,7.1,10,16 Ratings,"['Action', 'Shooter', 'Light Gun']",nDreams,19-Dec-17
ps4,ECHO,79,7,24,24 Ratings,"['Action Adventure', 'General']",Ultra Ultra,10-Oct-17
ps4,NIOH: DEFIANT HONOR,79,6.8,8,39 Ratings,"['Role-Playing', 'Action RPG']",Team Ninja,25-Jul-17
ps4,TALES OF BERSERIA,79,7.2,57,569 Ratings,"['Japanese-Style', 'Role-Playing', 'Action RPG']",Bandai Namco Games,24-Jan-17
ps4,WONDER BOY: THE DRAGON'S TRAP,79,7.8,41,56 Ratings,"['Action Adventure', 'General']",Lizardcube,18-Apr-17
ps4,CALL OF DUTY: WWII,79,4.8,83,1877 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Sledgehammer Games,3-Nov-17
ps4,PINBALL FX3,78,6.1,9,16 Ratings,"['Action', 'Pinball']",Zen Studios,26-Sep-17
ps4,SUPER RUDE BEAR RESURRECTION,78,5,12,6 Ratings,"['Action', 'Platformer', '2D']",Alex Rose,2-May-17
ps4,FOR HONOR,78,6.1,59,1093 Ratings,"['Action Adventure', 'General']",Ubisoft Montreal,14-Feb-17
ps4,FORMA.8,78,5.4,17,39 Ratings,"['Action', 'Action Adventure', 'Platformer', 'Open-World', '2D']",MixedBag,23-Feb-17
ps4,DRAGON'S DOGMA: DARK ARISEN,78,8.2,24,198 Ratings,"['Role-Playing', 'Action RPG']",Capcom,3-Oct-17
ps4,SUPER CLOUDBUILT,78,6.7,10,10 Ratings,"['Action Adventure', 'General']","Coilworks, Double Eleven",25-Jul-17
ps4,FORTNITE,78,3.7,16,1209 Ratings,"['Action', 'Shooter', 'Third-Person', 'Tactical']",Epic Games,21-Jul-17
ps4,DARKNET,78,5.4,8,9 Ratings,"['Puzzle', 'General']",Archiact Interactive Ltd.,7-Mar-17
ps4,LITTLE NIGHTMARES,78,8.1,52,397 Ratings,"['Action Adventure', 'General', 'Linear']",Tarsier Studios,28-Apr-17
ps4,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 1: AWAKE,78,7.4,53,185 Ratings,"['Action Adventure', 'General']",Deck Nine Games,31-Aug-17
ps4,CALL OF DUTY: BLACK OPS III - ZOMBIES CHRONICLES,78,6.7,12,50 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Treyarch,16-May-17
ps4,EVERYBODY'S GOLF,78,7.6,48,164 Ratings,"['Traditional', 'Sports', 'Individual', 'Golf', 'Arcade']","SCEI, Clap Hanz",29-Aug-17
ps4,FLYWRENCH,78,3.5,8,15 Ratings,"['Action', 'General']",Messhof,14-Feb-17
ps4,YOMAWARI: MIDNIGHT SHADOWS,77,7,23,26 Ratings,"['Action Adventure', 'Survival']",Nippon Ichi Software,24-Oct-17
ps4,ELITE: DANGEROUS,77,6.9,17,131 Ratings,"['Simulation', 'Space', 'Civilian']",Frontier Developments,27-Jun-17
ps4,LINELIGHT,77,5.5,8,14 Ratings,"['Puzzle', 'Action']",My Dog Zorro,31-Jan-17
ps4,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 3: HELL IS EMPTY,77,7.4,26,85 Ratings,"['Action Adventure', 'General']",Deck Nine Games,19-Dec-17
ps4,LIFE IS STRANGE: BEFORE THE STORM,77,7.8,19,456 Ratings,"['Action Adventure', 'General']",Deck Nine Games,31-Aug-17
ps4,LEGO CITY UNDERCOVER,77,7.4,27,52 Ratings,"['Action Adventure', 'Open-World']",TT Games,4-Apr-17
ps4,THE ELDER SCROLLS V: SKYRIM VR,77,8,44,276 Ratings,"['Role-Playing', 'Western-Style']",Bethesda Softworks,17-Nov-17
ps4,OBSERVER,77,7.3,19,93 Ratings,"['Adventure', '3D', 'First-Person']",Bloober Team,15-Aug-17
ps4,THE SEXY BRUTALE,77,7.7,28,76 Ratings,"['Adventure', 'General']","Abstraction Games, Tequila Works, Cavalier Game Studios",11-Apr-17
ps4,SNIPER ELITE 4,77,7,55,294 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",Rebellion,14-Feb-17
ps4,YS ORIGIN,77,7.1,18,52 Ratings,"['Role-Playing', 'Action RPG']",Falcom,30-May-17
ps4,TOUKIDEN 2,77,7.5,46,93 Ratings,"['Role-Playing', 'Action RPG']",Koei Tecmo Games,21-Mar-17
ps4,GNOG,77,7,29,33 Ratings,"['Adventure', 'General']",KO-OP,2-May-17
ps4,AAERO,77,5.1,8,9 Ratings,"['Action', 'Shooter', 'Rail']",Mad Fellows Ltd,11-Apr-17
ps4,THE DISNEY AFTERNOON COLLECTION,76,6.4,38,13 Ratings,"['Miscellaneous', 'Compilation']","Capcom, Digital Eclipse",18-Apr-17
ps4,KINGDOM HEARTS HD 2.8 FINAL CHAPTER PROLOGUE,76,8.2,69,412 Ratings,"['Miscellaneous', 'Compilation', 'Role-Playing', 'Action RPG']",Square Enix,24-Jan-17
ps4,DRAGON QUEST HEROES II,76,7.6,68,79 Ratings,"['Action', ""Beat-'Em-Up"", '3D']",Omega Force,25-Apr-17
ps4,TORMENT: TIDES OF NUMENERA,76,7,20,82 Ratings,"['General', 'Role-Playing', 'Western-Style']",InXile Entertainment,28-Feb-17
ps4,COSMIC STAR HEROINE,76,7.5,8,47 Ratings,"['Console-style RPG', 'Console-style RPG', 'Role-Playing', 'Japanese-Style']",Zeboyd Games,11-Apr-17
ps4,2064: READ ONLY MEMORIES,76,3.4,14,554 Ratings,"['General', 'Adventure', 'Point-and-Click']",MidBoss,17-Jan-17
ps4,CHIME SHARP,76,2.9,9,16 Ratings,"['Puzzle', 'General']",Chilled Mouse,21-Feb-17
ps4,L.A. NOIRE,76,7.9,17,259 Ratings,"['Action Adventure', 'Adventure', '3D', 'Open-World', 'Third-Person']",Team Bondi,14-Nov-17
ps4,CHAOS;CHILD,76,8.4,18,36 Ratings,"['Adventure', 'General', 'Visual Novel']",5pb,17-Oct-17
ps4,CALL OF DUTY: INFINITE WARFARE - SABOTAGE,76,1.8,11,36 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",Infinity Ward,31-Jan-17
ps4,WINDJAMMERS,76,6.8,30,13 Ratings,"['Sports', 'Individual', 'Other']",DotEmu,29-Aug-17
ps4,MASQUERADA: SONGS AND SHADOWS,76,tbd,16,,,,
ps4,NIOH: DRAGON OF THE NORTH,76,7.7,14,81 Ratings,"['Role-Playing', 'Action RPG']",Team Ninja,2-May-17
ps4,FLINTHOOK,76,6.3,14,24 Ratings,"['Action', 'Platformer', '2D']",Tribute Games,14-Apr-17
ps4,MOMODORA: REVERIE UNDER THE MOONLIGHT,76,7.3,22,41 Ratings,"['Action', 'Action Adventure', 'General', 'Open-World']",Bombservice,16-Mar-17
ps4,THE GOLF CLUB 2,76,5.9,20,29 Ratings,"['Sports', 'Individual', 'Golf', 'Arcade']","HB Studios Multimedia, Maximum Games",27-Jun-17
ps4,LAWBREAKERS,76,5.8,32,114 Ratings,"['Third-Person', 'Arcade', 'Action', 'Shooter', 'First-Person', 'Tactical']",Boss Key Productions,8-Aug-17
ps4,THE EVIL WITHIN 2,76,8.5,67,1346 Ratings,"['Action Adventure', 'Survival']",Tango Gameworks,13-Oct-17
ps4,VICTOR VRAN: OVERKILL EDITION,76,7.2,15,24 Ratings,"['Role-Playing', 'Action RPG']",Haemimont Games,30-May-17
ps4,THE FLAME IN THE FLOOD: COMPLETE EDITION,76,6.2,31,23 Ratings,"['Action Adventure', 'General', 'Survival']",The Molasses Flood,17-Jan-17
ps4,JYDGE,76,6.6,13,10 Ratings,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",10tons,3-Oct-17
ps4,BATTLESTAR GALACTICA DEADLOCK,76,tbd,7,,,,
ps4,FULL THROTTLE REMASTERED,76,7.4,17,51 Ratings,"['Adventure', 'Point-and-Click']",Double Fine Productions,18-Apr-17
ps4,.HACK//G.U. LAST RECODE,76,8.1,21,68 Ratings,"['Miscellaneous', 'Compilation']",CyberConnect2,3-Nov-17
ps4,THE MUMMY DEMASTERED,75,7.1,7,10 Ratings,"['Action', 'Platformer', '2D']",WayForward,24-Oct-17
ps4,INFINITE MINIGOLF,75,7.1,17,12 Ratings,"['Sports', 'Individual', 'Golf', 'Arcade']",Zen Studios,25-Jul-17
ps4,THE ESCAPISTS 2,75,6.7,30,15 Ratings,"['Action', 'General']",Mouldy Toof Studios,22-Aug-17
ps4,RESIDENT EVIL 7: BIOHAZARD - BANNED FOOTAGE VOL. 1,75,6,9,43 Ratings,"['Action Adventure', 'Survival']",Capcom,31-Jan-17
ps4,SUPERHOT VR,75,7.5,22,103 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",SUPERHOT,21-Jul-17
