platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,EVERSPACE,79.0,7.7,18.0,79,"Action, General, Simulation, Action Adventure, Space, Open-World, Combat",ROCKFISH Games,2017-05-26
pc,HIGH HELL,79.0,7.2,15.0,10,"Action, Shooter, First-Person, Arcade",Terri Vellimann,2017-10-23
pc,DOKI DOKI LITERATURE CLUB!,78.0,8.5,7.0,627,"Adventure, Visual Novel",Team Salvato,2017-10-06
pc,FALLOUT 4 VR,78.0,5.1,27.0,73,"Role-Playing, Western-Style",Bethesda Game Studios,2017-12-11
pc,VANQUISH,78.0,8.8,21.0,422,"Action, Shooter, Third-Person, Arcade",PlatinumGames,2017-05-25
pc,THE DISNEY AFTERNOON COLLECTION,78.0,6.1,8.0,12,"Miscellaneous, Compilation","Capcom, Digital Eclipse",2017-04-18
pc,OBSERVER,78.0,7.8,43.0,289,"Adventure, 3D, First-Person",Bloober Team,2017-08-15
pc,KEN FOLLETT'S THE PILLARS OF THE EARTH,78.0,7.9,20.0,70,"Adventure, Visual Novel",Daedalic Entertainment,2017-08-15
pc,BATTLE CHASERS: NIGHTWAR,78.0,7.4,28.0,113,"Role-Playing, Action RPG, Japanese-Style",Airship Syndicate Entertainment,2017-10-03
pc,SNIPER ELITE 4,78.0,7.2,31.0,244,"Action, Shooter, First-Person, Tactical",Rebellion,2017-02-14
pc,DIRT 4,78.0,6.6,15.0,142,"Racing, Simulation, Automobile",Codemasters,2017-06-08
pc,MARVEL'S GUARDIANS OF THE GALAXY: THE TELLTALE SERIES,78.0,7.1,7.0,61,"Action, Adventure, General, 3D, Third-Person",Telltale Games,2017-04-18
pc,RIME,78.0,7.3,19.0,206,"Action, Adventure, General, 3D, Third-Person","Tequila Works, QLOC",2017-05-26
pc,STAR TREK: BRIDGE CREW,78.0,7.6,12.0,25,"Action Adventure, General","Ubisoft, Red Storm Entertainment",2017-05-30
pc,SHADOWS OF ADAM,78.0,6.9,8.0,22,"Role-Playing, Japanese-Style",Something Classic Games LLC,2017-02-23
pc,BRIDGE CONSTRUCTOR PORTAL,77.0,6.6,29.0,48,"Simulation, Virtual, Career",ClockStone Software,2017-12-20
pc,THE ELDER SCROLLS ONLINE: MORROWIND,77.0,6.7,32.0,137,"Role-Playing, Massively Multiplayer",ZeniMax Media,2017-05-22
pc,FIGMENT,77.0,7.1,8.0,39,"Action, Action Adventure, General",Bedtime Digital Games,2017-09-22
pc,THE LONG DARK,77.0,6.6,16.0,412,"Simulation, Action Adventure, General, Survival",Hinterland,2017-08-01
pc,WORLD OF FINAL FANTASY,77.0,7.7,11.0,99,"Role-Playing, Japanese-Style",Square Enix,2017-11-21
pc,COSMIC STAR HEROINE,77.0,7.1,8.0,25,"Console-style RPG, Console-style RPG, Role-Playing, Japanese-Style",Zeboyd Games,2017-04-11
pc,BATTLESTAR GALACTICA DEADLOCK,77.0,7.2,8.0,19,"Strategy, Turn-Based, General, 4X",Black Lab Games,2017-08-31
pc,"WARHAMMER 40,000: DAWN OF WAR III",77.0,4.6,76.0,485,"Sci-Fi, Strategy, Real-Time, General",Relic,2017-04-27
pc,SPINTIRES: MUDRUNNER,77.0,6.8,10.0,71,"Simulation, Vehicle, Civilian",Saber Interactive,2017-10-30
pc,FULL THROTTLE REMASTERED,77.0,7.5,23.0,85,"Adventure, Point-and-Click",Double Fine Productions,2017-04-18
pc,LIFE IS STRANGE: BEFORE THE STORM,77.0,8,19.0,528,"Action Adventure, General",Deck Nine Games,2017-08-31
pc,THE DARKSIDE DETECTIVE,77.0,8.2,11.0,26,"Adventure, General, Point-and-Click",Spooky Doorway,2017-07-27
pc,BATMAN: THE ENEMY WITHIN - EPISODE 1: THE ENIGMA,76.0,6.6,34.0,60,"Adventure, Point-and-Click",Telltale Games,2017-08-08
pc,LAWBREAKERS,76.0,6.5,34.0,160,"Sci-Fi, Third-Person, Arcade, Action, Shooter, First-Person, Tactical","Boss Key, Boss Key Productions",2017-08-04
pc,TACOMA,76.0,6.4,56.0,147,"Adventure, General","The Fullbright Company, Fullbright",2017-08-01
pc,SECRET WORLD LEGENDS,76.0,5.1,9.0,48,"Role-Playing, Action Adventure, General, Massively Multiplayer",Funcom,2017-06-26
pc,OLD MAN'S JOURNEY,76.0,6.5,9.0,44,"Adventure, General",Broken Rules,2017-05-17
pc,HOB,76.0,7.5,29.0,117,"Action, Action Adventure, General, Open-World",Runic Games,2017-09-26
pc,MASTER X MASTER,76.0,7.6,12.0,22,"Strategy, Real-Time, MOBA",NCSOFT,2017-06-21
pc,FOR HONOR,76.0,5.2,31.0,943,"Action Adventure, General",Ubisoft Montreal,2017-02-13
pc,BATTLEFIELD 1: THEY SHALL NOT PASS,76.0,4.9,8.0,38,"Action, Shooter, First-Person, Tactical",EA DICE,2017-03-14
pc,GIGANTIC,76.0,8.4,12.0,45,"Strategy, Real-Time, MOBA",Motiga,2017-07-20
pc,BULLETSTORM: FULL CLIP EDITION,76.0,7,9.0,75,"Action, Shooter, First-Person, Arcade",People Can Fly,2017-04-07
pc,FUTURE UNFOLDING,76.0,6.6,11.0,14,"Action Adventure, Open-World",Spaces of Play,2017-03-15
pc,SERIOUS SAM'S BOGUS DETOUR,76.0,8.3,12.0,23,"Action, Shooter, Shoot-Em-Up, Top-Down",Crackshell,2017-06-20
