platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,ECHO,79,7,24,24,"Action Adventure, General",Ultra Ultra,2017-10-10
ps4,NIOH: DEFIANT HONOR,79,6.8,8,39,"Role-Playing, Action RPG",Team Ninja,2017-07-25
ps4,TALES OF BERSERIA,79,7.2,57,569,"Japanese-Style, Role-Playing, Action RPG",Bandai Namco Games,2017-01-24
ps4,WONDER BOY: THE DRAGON'S TRAP,79,7.8,41,56,"Action Adventure, General",Lizardcube,2017-04-18
ps4,CALL OF DUTY: WWII,79,4.8,83,1877,"Action, Shooter, First-Person, Arcade",Sledgehammer Games,2017-11-03
ps4,PINBALL FX3,78,6.1,9,16,"Action, Pinball",Zen Studios,2017-09-26
ps4,SUPER RUDE BEAR RESURRECTION,78,5,12,6,"Action, Platformer, 2D",Alex Rose,2017-05-02
ps4,FOR HONOR,78,6.1,59,1093,"Action Adventure, General",Ubisoft Montreal,2017-02-14
ps4,FORMA.8,78,5.4,17,39,"Action, Action Adventure, Platformer, Open-World, 2D",MixedBag,2017-02-23
ps4,DRAGON'S DOGMA: DARK ARISEN,78,8.2,24,198,"Role-Playing, Action RPG",Capcom,2017-10-03
ps4,SUPER CLOUDBUILT,78,6.7,10,10,"Action Adventure, General","Coilworks, Double Eleven",2017-07-25
ps4,FORTNITE,78,3.7,16,1209,"Action, Shooter, Third-Person, Tactical",Epic Games,2017-07-21
ps4,DARKNET,78,5.4,8,9,"Puzzle, General",Archiact Interactive Ltd.,2017-03-07
ps4,LITTLE NIGHTMARES,78,8.1,52,397,"Action Adventure, General, Linear",Tarsier Studios,2017-04-28
ps4,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 1: AWAKE,78,7.4,53,185,"Action Adventure, General",Deck Nine Games,2017-08-31
ps4,CALL OF DUTY: BLACK OPS III - ZOMBIES CHRONICLES,78,6.7,12,50,"Action, Shooter, First-Person, Arcade",Treyarch,2017-05-16
ps4,EVERYBODY'S GOLF,78,7.6,48,164,"Traditional, Sports, Individual, Golf, Arcade","SCEI, Clap Hanz",2017-08-29
ps4,FLYWRENCH,78,3.5,8,15,"Action, General",Messhof,2017-02-14
ps4,YOMAWARI: MIDNIGHT SHADOWS,77,7,23,26,"Action Adventure, Survival",Nippon Ichi Software,2017-10-24
